,GeoAreaName,Time_Detail,BOTHSEX.SKILL_READ.GRAD23,BOTHSEX.SKILL_READ.LOWSEC,FEMALE.SKILL_MATH.GRAD23,FEMALE.SKILL_MATH.LOWSEC,MALE.SKILL_MATH.GRAD23,BOTHSEX.SKILL_MATH.PRIMAR,MALE.SKILL_READ.GRAD23,MALE.SKILL_MATH.LOWSEC,FEMALE.SKILL_READ.LOWSEC,BOTHSEX.SKILL_READ.PRIMAR,FEMALE.SKILL_READ.GRAD23,BOTHSEX.SKILL_MATH.LOWSEC,MALE.SKILL_READ.PRIMAR,FEMALE.SKILL_READ.PRIMAR,BOTHSEX.SKILL_MATH.GRAD23,MALE.SKILL_MATH.PRIMAR,MALE.SKILL_READ.LOWSEC,FEMALE.SKILL_MATH.PRIMAR
30,Czechia,2016,97.039474329025,78.7926097464363,83.66218837723125,80.13303253594476,83.95510923572677,68.07642678844826,96.13596858565859,81.59469250184873,85.30666666666666,70.97259967171652,97.9758398259976,80.87574497550233,68.69225796727477,73.45903351888636,83.7988546410443,67.3799916980754,72.06666666666668,68.8193781094737
31,Benin,2014,8.82,38.97644537130523,36.67,28.415388609796498,31.36,10.8,8.88,28.342291555259763,42.96666666666666,22.7,8.77,28.40191514575697,26.05,20.31,33.92,10.534902913980948,35.06666666666667,8.215477802859292
32,Denmark,2006,96.51308650653161,83.9857674627264,74.58979842184283,84.82,76.09851295470884,68.07642678844826,95.88469990128641,87.93,88.63,70.97259967171652,97.2057686256427,86.3660291915847,68.69225796727477,73.45903351888636,75.34655748159484,67.3799916980754,79.29,68.8193781094737
33,Denmark,2011,98.573216930037,78.49689291444953,81.159006327312,82.17333333333333,82.5915986730249,70.98779777068142,98.3422598855289,84.05666666666667,84.35666666666667,70.97259967171652,98.80472308057459,83.12292427017313,68.69225796727477,73.45903351888636,81.85847585994179,71.66347504281235,72.73666666666666,70.30022452539026
34,Denmark,2016,97.37894663320449,80.77678729126406,71.36230616600177,78.95969920261143,74.11731993455408,68.07642678844826,97.2050686726375,79.63469250184873,86.35666666666667,70.97259967171652,97.585847201676,79.31610169208717,68.69225796727477,73.45903351888636,72.74009975083354,67.3799916980754,75.23333333333333,68.8193781094737
35,Dominican Republic,2006,21.886051080550104,38.0448334245869,11.1050609553196,28.415388609796498,9.03493118009789,7.094342882441231,20.5448824860489,28.342291555259767,41.67333333333333,10.582664751806,26.2229413737988,28.40191514575697,9.04136880346889,12.217754758984098,9.45541361828983,8.61470874194284,34.876666666666665,6.306433408577879
36,Dominican Republic,2013,44.22525248555821,38.0448334245869,27.4100378787879,27.027633857688603,23.303988630205602,12.343768202772601,39.9736749372966,26.013039956961933,41.67333333333334,20.6180534084067,48.0558408815015,26.587258490645137,19.3770593308419,21.8132061206887,25.4357113710221,12.874119954135802,34.876666666666665,11.7745163442295
37,Ecuador,2006,47.9099009214078,38.044833424586905,40.600770399689004,35.032316410251504,39.575667918421004,25.751094009355697,46.0262882729156,35.459400520614565,41.67333333333334,22.360042251395804,49.8235132437398,35.277274897952466,20.946260168179997,23.5722125116865,40.1813088064277,25.818918060163604,34.87666666666667,25.9478825268299
38,Ecuador,2013,74.4659206510682,55.344502653052764,63.187774723860706,34.343333333333334,66.0981288346485,48.3665455454301,74.3703831043741,40.13999999999999,51.06,37.9313823934966,74.5630998055936,37.072182835796866,37.8711499615667,38.0013921065481,64.6981341361962,49.7841533717657,37.076666666666675,46.71730563267511
39,El Salvador,2006,65.6013721646598,43.49864478103806,41.976004799040204,30.646983968454435,47.301330538594705,27.2587686286316,64.9372192143762,33.59586042395097,47.6,33.5307842842089,66.4524778664863,32.0380619942153,34.0595293750974,33.0965784791296,44.688695976850504,30.1295930214315,39.04333333333333,24.7011249172855
40,Finland,2011,99.20121275044409,84.960684308464,84.3127799729915,84.03666666666668,84.9995490755697,70.98779777068142,98.91158531669979,86.70333333333333,88.88,70.97259967171652,99.4965604487077,85.38452811624133,68.69225796727477,73.45903351888636,84.66515783794941,71.66347504281235,81.10000000000001,70.30022452539026
41,Finland,2016,98.2899335233376,79.04236213241143,72.29331405758562,78.48333333333333,75.92514986991704,68.07642678844826,97.6505436902645,80.30333333333333,85.88666666666666,70.97259967171652,98.92597022268471,79.3983930061546,68.69225796727477,73.45903351888636,74.12817234997493,67.3799916980754,72.09666666666666,68.8193781094737
42,Georgia,2006,82.0221117129424,62.4024331953403,71.46656036467358,47.673333333333325,68.77690330806347,55.8660451924861,78.8464233352988,51.589999999999996,61.66,55.632822556966566,85.4317020544984,49.59380211472956,53.249821215475436,58.035522088932,70.1045227511379,58.9220644200548,45.166666666666664,52.62715686924347
43,Georgia,2011,86.4854923235735,62.4024331953403,42.1036143979804,59.81,40.4789128173504,37.96917698664367,83.4717127973121,62.23333333333333,70.13666666666666,42.141777121761464,89.90729547989041,61.0144194306709,41.75233959220373,42.62136308302633,41.2560406874593,41.12419370172563,53.416666666666664,35.68416454855254
44,Georgia,2016,86.4763738517683,57.1160191629119,56.88511973921246,59.81,57.43065279641604,57.8835236845527,83.28828089642309,62.23333333333333,64.42666666666666,67.08145767527456,89.7326177108498,61.0144194306709,66.45035232823554,67.986424207805,57.074720229259064,61.0648256135673,49.949999999999996,54.62831890562497
45,Gambia,2018,5.2,38.0448334245869,29.3,28.415388609796498,33.443333333333335,5.1000000000000005,3.8,28.342291555259763,41.67333333333333,15.733333333333334,6.3,28.40191514575697,20.22666666666667,20.276666666666667,31.570000000000004,10.534902913980948,34.876666666666665,8.215477802859292
46,Greece,2001,94.5070449401902,82.25670066898441,61.31036174798879,81.98,65.54110558375886,63.238450075466865,92.0754208801545,81.81333333333333,89.81,70.97259967171652,97.143396399621,81.89091774084118,68.69225796727477,73.45903351888636,63.471520276957136,63.38577289941066,74.69333333333333,63.096716518932304
47,Guatemala,2006,42.4482004494179,38.0448334245869,31.2721554135764,34.192942213754264,34.517516715197395,21.4812324092754,42.025591527158,37.427598523289966,41.67333333333334,20.7218052603613,43.817406439467604,35.881582549906035,21.496659538137603,20.577871113563198,32.602759629644495,23.557583406141802,34.876666666666665,19.7888697447021
48,Guatemala,2013,68.0429040731067,43.6433853789764,50.1218215145092,27.27,53.355246307521604,34.4626563399215,67.6044642026215,34.193333333333335,48.92666666666667,36.375577696944106,68.50110350503121,30.480131980956497,37.2564028118704,35.497117586669795,51.78579928018829,39.075396618533794,37.6,29.7446925736019
49,Honduras,2013,69.73670746183129,43.6433853789764,55.767459943931705,27.27,57.9003868667841,31.737923115678,67.59727004680511,34.193333333333335,48.92666666666667,30.555961404718598,71.8445911630269,30.480131980956497,28.498102842244897,32.631381249193,56.8393729641694,33.7705803602884,37.6,29.7145328719723
50,"China, Hong Kong Special Administrative Region",2001,96.6241859258615,82.5010946898489,83.67439183545201,83.5058190936899,83.59460728754341,68.07642678844826,95.09017965510651,83.6694063912894,88.74000000000001,70.97259967171652,98.4116315365582,83.5689969409092,68.69225796727477,73.45903351888636,83.63175958722736,67.3799916980754,76.18333333333334,68.8193781094737
51,"China, Hong Kong Special Administrative Region",2006,99.1461542578339,92.8514373812282,89.41844992946083,89.73,90.19138665340957,68.07642678844826,98.78193308795592,91.24,95.69,70.97259967171652,99.6117728507654,90.4735462517501,68.69225796727477,73.45903351888636,89.7525309226312,67.3799916980754,89.93,68.8193781094737
52,"China, Hong Kong Special Administrative Region",2011,99.185077274539,84.960684308464,96.69914912956759,84.03666666666668,95.7147522271999,70.98779777068142,98.90722221330721,86.70333333333333,88.88,70.97259967171652,99.5737788175754,85.38452811624133,68.69225796727477,73.45903351888636,96.16563201826669,71.66347504281235,81.10000000000001,70.30022452539026
